 OTU# 	 CD-b_Sig_C1492 	 CD-b_Sig_C1675 	 CD-b_Sig_D0742 	 CD-b_Sig_D0743 	 CD-b_TIle_C1671 	 CD-b_TIle_D0756 	 CD-b_TIle_D0757 	 CD-b_TIle_D0758 	 CD-nb_Sig_C1670 	 CD-nb_Sig_C1673 	 CD-nb_Sig_D0745 	 CD-nb_Sig_D0746 	 CD-nb_TIle_C1669 	 CD-nb_TIle_C1672 	 CD-nb_TIle_C1674 	 CD-nb_TIle_C1686 	 CD-nb_TIle_D0759 	 CD-nb_TIle_D0760 	 Ctrl-nb_Sig_C1656 	 Ctrl-nb_Sig_C1663 	 Ctrl-nb_Sig_C1680 	 Ctrl-nb_Sig_C1684 	 Ctrl-nb_Sig_D0768 	 Ctrl-nb_TIle_C1655 	 Ctrl-nb_TIle_C1659 	 Ctrl-nb_TIle_C1662 	 Ctrl-nb_TIle_C1679 	 Ctrl-nb_TIle_C1683 	 Ctrl-nb_TIle_D0761 	 DCtrl-b_Sig_C1493 	 DCtrl-b_Sig_C1668 	 DCtrl-b_Sig_C1682 	 DCtrl-b_Sig_D0748 	 DCtrl-b_TIle_C1677 	 DCtrl-b_TIle_D0762 	 DCtrl-nb_Sig_C1649 	 DCtrl-nb_Sig_C1676 	 DCtrl-nb_Sig_D0749 	 DCtrl-nb_Sig_D0769 	 DCtrl-nb_TIle_C1648 	 DCtrl-nb_TIle_C1664 	 DCtrl-nb_TIle_C1681 	 DCtrl-nb_TIle_D0763 	 DCtrl-nb_TIle_D0764 	 UC-b_Sig_C1658 	 UC-b_Sig_C1661 	 UC-b_Sig_C1666 	 UC-b_Sig_C2485 	 UC-b_TIle_C1665 	 UC-b_TIle_D0765 	 UC-nb_Sig_C1494 	 UC-nb_Sig_D0751 	 UC-nb_Sig_D0752 	 UC-nb_Sig_D0754 	 UC-nb_TIle_C1650 	 UC-nb_TIle_C1653 	 UC-nb_TIle_C1660 	 UC-nb_TIle_C1678 	 UC-nb_TIle_C2484 	 CountZeros 	 CountNonZeros 
Otu00063	0	11	0	5	386	0	0	12	1	249	0	79	0	0	15	3	174	0	45	55	2	8	9	170	0	98	4	1	1	10	50	0	29	4	2	4	1	18	2	0	0	0	10	3	3	280	514	131	448	1	103	0	0	5	3	610	482	51	195	15	44
Otu00064	0	1067	10	1	2	0	2	79	0	0	0	10	2	0	111	0	2	0	0	98	220	128	12	0	10	137	170	90	0	0	11	2	0	19	0	0	9	16	3	0	0	0	150	46	127	241	145	440	134	31	3	4	78	0	18	0	404	0	156	21	38
Otu00065	0	0	0	1	275	0	3	1223	0	139	0	851	1	0	26	0	761	0	0	0	0	76	0	0	0	0	0	30	1	0	0	0	0	23	0	0	6	0	0	0	0	0	0	0	0	0	0	33	0	46	0	1	53	0	2	2	0	0	14	38	21
Otu00066	2	60	0	42	38	0	0	14	27	42	0	22	15	0	2	0	5	254	5	3	2	560	0	1	40	8	0	423	0	0	0	1	11	15	4	947	43	21	77	191	0	0	0	11	19	206	0	1	1	3	201	18	38	0	20	29	425	152	0	17	42
Otu00067	0	1889	0	468	0	0	0	92	1	0	0	0	1	0	447	0	0	84	0	0	2	39	0	0	7	0	2	23	0	0	0	1	0	5	0	84	9	0	93	10	0	0	0	0	0	0	0	257	0	0	147	1	0	0	6	0	0	105	197	35	24
Otu00068	0	0	0	227	61	1	0	80	0	67	0	0	4	2	0	0	0	117	0	0	1	270	0	2	0	0	1	171	3	0	0	3	0	22	0	310	38	0	289	60	0	0	0	0	0	38	3	20	7	1	453	0	26	0	614	1	93	589	25	27	32
Otu00069	0	11	0	0	350	1	0	96	0	265	0	126	1	0	13	76	332	584	29	39	0	23	2	92	0	88	0	7	1	2	0	1	0	13	1	252	52	257	80	41	0	0	0	51	27	0	17	105	13	16	83	0	0	4	6	157	0	69	101	19	40
Otu00070	1	163	0	29	43	0	0	119	0	50	0	0	2	0	1	0	0	104	1	0	143	147	0	0	179	0	103	74	0	0	0	2	7	22	0	336	33	34	50	58	0	1	0	7	75	167	1	64	0	0	818	0	90	7	4	7	219	283	124	22	37
Otu00071	8	73	0	86	93	7	0	11	28	56	0	142	13	0	3	0	191	171	6	0	3	17	0	5	13	0	3	10	0	0	0	0	0	39	0	165	153	3	112	16	0	0	0	0	3	35	0	0	0	29	1002	380	38	0	16	0	47	426	0	24	35
Otu00072	0	0	0	3	0	0	0	0	1	0	447	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2131	0	0	0	0	0	1	0	1	0	0	0	0	0	0	13	1	0	0	0	0	2	0	0	0	0	0	1	0	0	47	12
